depto,victim_conflict,response,friendliness,substantive,gender_female,words_responses,victim_ID
CALDAS,1,0,0,0,0,0,549
SANTANDER,1,1,2,0,1,27,550
CUNDINAMARCA,1,0,0,0,0,0,551
CHOCO,1,1,0,0,0,14,552
CHOCO,1,0,0,0,1,0,553
CHOCO,1,0,0,0,0,0,554
TOLIMA,1,0,0,0,0,0,555
CAUCA,1,0,0,0,0,0,556
META,1,0,0,0,1,0,557
CAQUETA,0,0,0,0,1,0,558
BOYACA,1,1,6,4,1,183,559
GUAVIARE,1,1,4,1,1,142,560
CAUCA,1,1,3,2,1,158,561
RISARALDA,1,0,0,0,0,0,562
VAUPES,1,1,5,3,1,161,563
PUTUMAYO,1,0,0,0,0,0,564
SANTANDER,1,0,0,0,1,0,565
SANTANDER,1,1,6,1,1,200,566
CORDOBA,1,0,0,0,0,0,567
BOLIVAR,0,0,0,0,0,0,568
BOYACA,1,0,0,0,0,0,569
BOYACA,1,1,2,2,0,76,570
BOYACA,1,0,0,0,0,0,571
CORDOBA,0,0,0,0,0,0,572
ANTIOQUIA,1,0,0,0,1,0,573
BOLIVAR,0,0,0,0,1,0,574
CORDOBA,0,0,0,0,0,0,575
QUINDIO,1,0,0,0,0,0,576
CORDOBA,1,1,4,1,1,41,577
CASANARE,1,0,0,0,1,0,578
BOLIVAR,0,0,0,0,1,0,579
CAUCA,1,0,0,0,1,0,580
CAQUETA,1,0,0,0,1,0,581
SUCRE,1,0,0,0,0,0,582
CUNDINAMARCA,1,1,3,1,1,104,583
NARINO,0,0,0,0,0,0,584
BOYACA,1,1,3,1,1,38,585
TOLIMA,0,0,0,0,0,0,586
ANTIOQUIA,1,0,0,0,0,0,587
ANTIOQUIA,1,0,0,0,0,0,588
NORTE DE SANTANDER,1,1,4,1,1,23,589
BOYACA,1,0,0,0,0,0,590
CUNDINAMARCA,0,0,0,0,0,0,591
NARINO,1,1,3,1,1,30,592
ANTIOQUIA,1,1,1,2,1,15,593
HUILA,1,0,0,0,0,0,594
TOLIMA,1,0,0,0,0,0,595
ANTIOQUIA,0,0,0,0,0,0,596
ANTIOQUIA,1,0,0,0,1,0,597
CALDAS,1,0,0,0,0,0,598
HUILA,1,0,0,0,1,0,599
CUNDINAMARCA,1,1,5,3,0,478,600
CUNDINAMARCA,1,1,5,2,0,126,601
CUNDINAMARCA,1,0,0,0,0,0,602
BOYACA,1,1,5,1,0,70,603
CUNDINAMARCA,0,0,0,0,1,0,604
CALDAS,1,0,0,0,1,0,605
BOLIVAR,1,0,0,0,0,0,606
CHOCO,1,0,0,0,0,0,607
MAGDALENA,0,0,0,0,1,0,608
BOYACA,1,1,5,1,1,50,609
CASANARE,1,0,0,0,1,0,610
CHOCO,0,0,0,0,0,0,611
VALLE DEL CAUCA,1,0,0,0,1,0,612
SANTANDER,1,0,0,0,0,0,613
NORTE DE SANTANDER,1,1,3,3,1,237,614
SANTANDER,0,0,0,0,1,0,615
BOYACA,1,0,0,0,1,0,616
NARINO,1,0,0,0,1,0,617
ANTIOQUIA,1,1,4,1,1,49,618
SANTANDER,1,1,2,1,1,207,619
HUILA,1,0,0,0,0,0,620
PUTUMAYO,1,0,0,0,0,0,621
CASANARE,1,0,0,0,1,0,622
TOLIMA,1,0,0,0,0,0,623
NARINO,1,0,0,0,0,0,624
BOYACA,0,0,0,0,0,0,625
SUCRE,1,0,0,0,1,0,626
BOYACA,1,0,0,0,0,0,627
CUNDINAMARCA,1,0,0,0,1,0,628
CALDAS,0,0,0,0,1,0,629
CAUCA,1,0,0,0,1,0,630
BOYACA,1,0,0,0,1,0,631
CAUCA,1,0,0,0,0,0,632
HUILA,1,0,0,0,0,0,633
CESAR,1,1,1,2,0,56,634
CUNDINAMARCA,1,0,0,0,0,0,635
BOYACA,0,1,1,1,0,42,636
BOYACA,0,0,0,0,1,0,637
HUILA,0,0,0,0,1,0,638
CALDAS,1,1,5,2,1,155,639
HUILA,1,0,0,0,1,0,640
ATLANTICO,1,1,2,1,1,188,641
SANTANDER,1,0,0,0,1,0,642
SANTANDER,1,0,0,0,0,0,643
VALLE DEL CAUCA,1,0,0,0,0,0,644
SUCRE,1,0,0,0,1,0,645
TOLIMA,1,0,0,0,1,0,646
NORTE DE SANTANDER,0,1,3,2,0,82,647
NORTE DE SANTANDER,0,0,0,0,1,0,648
CUNDINAMARCA,1,1,4,1,1,65,649
BOYACA,1,0,0,0,1,0,650
SANTANDER,0,1,4,2,0,234,651
CUNDINAMARCA,1,0,0,0,1,0,652
CUNDINAMARCA,1,1,5,4,0,236,653
NARINO,1,1,4,3,1,620,654
CAUCA,0,0,0,0,0,0,655
BOYACA,0,0,0,0,0,0,656
BOYACA,0,0,0,0,0,0,657
CASANARE,1,1,4,3,0,556,658
BOYACA,0,0,0,0,0,0,659
MAGDALENA,1,0,0,0,1,0,660
CESAR,1,0,0,0,1,0,661
ANTIOQUIA,1,1,3,2,1,45,662
CALDAS,1,0,0,0,1,0,663
ANTIOQUIA,0,0,0,0,1,0,664
RISARALDA,0,0,0,0,0,0,665
BOYACA,1,1,4,1,0,55,666
CAUCA,1,0,0,0,1,0,667
SANTANDER,1,1,2,4,1,438,668
TOLIMA,1,0,0,0,1,0,669
CAUCA,1,0,0,0,1,0,670
QUINDIO,1,0,0,0,0,0,671
MAGDALENA,0,0,0,0,1,0,672
SANTANDER,1,0,0,0,0,0,673
BOLIVAR,1,0,0,0,0,0,674
ATLANTICO,0,0,0,0,0,0,675
BOYACA,1,1,3,2,0,183,676
HUILA,0,1,1,0,0,36,677
HUILA,0,0,0,0,1,0,678
MAGDALENA,1,0,0,0,1,0,679
TOLIMA,1,0,0,0,0,0,680
CORDOBA,1,0,0,0,0,0,681
MAGDALENA,1,0,0,0,1,0,682
NARINO,0,1,4,2,0,99,683
ATLANTICO,1,0,0,0,0,0,684
ATLANTICO,1,0,0,0,0,0,685
CAUCA,1,0,0,0,1,0,686
CASANARE,1,1,4,1,1,82,687
NARINO,1,0,0,0,1,0,688
VALLE DEL CAUCA,1,1,2,3,0,351,689
TOLIMA,1,0,0,0,0,0,690
NARINO,1,0,0,0,0,0,691
SAN ANDRES,1,0,0,0,1,0,692
CESAR,1,1,2,1,1,26,693
CORDOBA,0,0,0,0,1,0,694
RISARALDA,0,1,4,1,1,52,695
ANTIOQUIA,1,1,5,1,0,95,696
MAGDALENA,1,0,0,0,1,0,697
SANTANDER,0,0,0,0,1,0,698
NARINO,1,0,0,0,1,0,699
PUTUMAYO,0,0,0,0,0,0,700
ANTIOQUIA,1,1,6,3,0,136,701
BOYACA,1,1,3,3,1,261,702
PUTUMAYO,1,1,1,1,1,73,703
VICHADA,0,0,0,0,1,0,704
ATLANTICO,1,0,0,0,1,0,705
META,0,0,0,0,1,0,706
CORDOBA,0,0,0,0,1,0,707
META,1,0,0,0,1,0,708
PUTUMAYO,1,0,0,0,0,0,709
CORDOBA,1,1,0,0,0,2,710
META,1,1,2,3,1,69,711
META,1,0,0,0,0,0,712
ANTIOQUIA,1,0,0,0,0,0,713
AMAZONAS,0,0,0,0,1,0,714
SANTANDER,1,0,0,0,0,0,715
CAQUETA,1,0,0,0,0,0,716
META,0,1,2,2,1,188,717
ARAUCA,1,0,0,0,0,0,718
CUNDINAMARCA,1,1,4,3,0,285,719
NORTE DE SANTANDER,1,0,0,0,1,0,720
CAUCA,1,0,0,0,0,0,721
ANTIOQUIA,1,0,0,0,0,0,722
SANTANDER,0,0,0,0,0,0,723
CUNDINAMARCA,1,1,6,3,1,205,724
NARINO,1,1,5,3,0,524,725
CAUCA,1,0,0,0,0,0,726
TOLIMA,1,1,6,3,0,131,727
CORDOBA,1,0,0,0,1,0,728
CUNDINAMARCA,1,0,0,0,0,0,729
CUNDINAMARCA,1,0,0,0,1,0,730
CHOCO,1,0,0,0,1,0,731
QUINDIO,1,1,5,1,0,158,732
RISARALDA,0,1,2,1,1,120,733
BOYACA,1,0,0,0,1,0,734
CUNDINAMARCA,1,1,2,1,1,46,735
NORTE DE SANTANDER,1,0,0,0,0,0,736
BOYACA,1,0,0,0,0,0,737
BOYACA,0,0,0,0,0,0,738
CASANARE,1,0,0,0,0,0,739
BOLIVAR,1,0,0,0,0,0,740
ANTIOQUIA,1,0,0,0,0,0,741
MAGDALENA,1,0,0,0,0,0,742
ATLANTICO,1,1,6,1,1,43,743
META,0,1,1,2,1,96,744
VALLE DEL CAUCA,1,1,3,1,0,66,745
ANTIOQUIA,0,1,5,2,1,168,746
CUNDINAMARCA,1,1,6,3,0,140,747
NARINO,1,0,0,0,1,0,748
CESAR,1,0,0,0,0,0,749
CHOCO,1,0,0,0,0,0,750
CHOCO,1,0,0,0,1,0,751
BOLIVAR,0,0,0,0,1,0,752
TOLIMA,0,0,0,0,1,0,753
VALLE DEL CAUCA,1,1,3,1,0,38,754
LA GUAJIRA,0,0,0,0,1,0,755
ANTIOQUIA,1,1,2,0,1,17,756
SANTANDER,0,0,0,0,1,0,757
CALDAS,1,0,0,0,1,0,758
CHOCO,1,0,0,0,0,0,759
CALDAS,1,0,0,0,1,0,760
HUILA,1,1,4,1,0,61,761
NARINO,1,1,2,0,0,25,762
VALLE DEL CAUCA,1,1,1,2,0,99,763
TOLIMA,1,0,0,0,1,0,764
BOYACA,1,0,0,0,1,0,765
CAUCA,1,1,2,1,1,58,766
TOLIMA,1,0,0,0,0,0,767
SANTANDER,1,0,0,0,0,0,768
ATLANTICO,0,1,0,0,1,3,769
ANTIOQUIA,1,1,4,2,0,66,770
CASANARE,1,1,2,1,0,24,771
ATLANTICO,0,0,0,0,1,0,772
MAGDALENA,0,0,0,0,1,0,773
ANTIOQUIA,1,0,0,0,1,0,774
BOYACA,1,1,2,1,0,16,775
CASANARE,0,1,6,2,1,108,776
BOYACA,0,0,0,0,0,0,777
CORDOBA,1,0,0,0,1,0,778
HUILA,0,0,0,0,0,0,779
CALDAS,1,0,0,0,1,0,780
MAGDALENA,1,0,0,0,0,0,781
NORTE DE SANTANDER,1,0,0,0,1,0,782
TOLIMA,0,0,0,0,1,0,783
QUINDIO,1,0,0,0,0,0,784
ANTIOQUIA,1,1,3,1,1,127,785
BOYACA,0,0,0,0,1,0,786
CALDAS,1,0,0,0,0,0,787
NARINO,0,1,2,1,0,32,788
SUCRE,1,0,0,0,1,0,789
HUILA,0,0,0,0,1,0,790
CESAR,1,1,6,2,0,130,791
ANTIOQUIA,0,1,5,1,0,86,792
NARINO,1,0,0,0,0,0,793
CORDOBA,1,0,0,0,0,0,794
SANTANDER,1,1,2,1,0,53,795
CORDOBA,0,0,0,0,1,0,796
CUNDINAMARCA,1,0,0,0,0,0,797
TOLIMA,0,0,0,0,0,0,798
SUCRE,0,0,0,0,1,0,799
SANTANDER,0,0,0,0,0,0,800
CORDOBA,1,1,2,1,1,25,801
CUNDINAMARCA,1,1,2,1,1,54,802
NARINO,1,0,0,0,0,0,803
NORTE DE SANTANDER,1,0,0,0,1,0,804
META,1,0,0,0,0,0,805
CORDOBA,1,0,0,0,0,0,806
ANTIOQUIA,1,1,5,2,1,92,807
CUNDINAMARCA,1,1,2,1,0,82,808
NORTE DE SANTANDER,1,1,5,2,1,230,809
BOLIVAR,1,0,0,0,1,0,810
CESAR,1,1,6,1,1,67,811
BOYACA,1,0,0,0,0,0,812
BOLIVAR,0,0,0,0,1,0,813
BOLIVAR,1,0,0,0,1,0,814
CUNDINAMARCA,1,0,0,0,0,0,815
ANTIOQUIA,0,0,0,0,0,0,816
PUTUMAYO,1,0,0,0,1,0,817
SANTANDER,1,1,6,3,1,183,818
BOLIVAR,1,0,0,0,0,0,819
BOLIVAR,1,0,0,0,0,0,820
ANTIOQUIA,1,0,0,0,0,0,821
SANTANDER,0,0,0,0,1,0,822
ANTIOQUIA,1,0,0,0,0,0,823
SANTANDER,0,0,0,0,0,0,824
BOYACA,1,1,5,1,0,100,825
CORDOBA,1,0,0,0,1,0,826
CAQUETA,1,1,5,2,0,255,827
GUAVIARE,1,0,0,0,1,0,828
CHOCO,0,0,0,0,0,0,829
CALDAS,0,0,0,0,1,0,830
META,1,1,3,2,0,116,831
SUCRE,1,0,0,0,0,0,832
CUNDINAMARCA,1,1,5,1,0,122,833
ANTIOQUIA,1,0,0,0,0,0,834
LA GUAJIRA,1,0,0,0,1,0,835
BOLIVAR,1,0,0,0,0,0,836
META,1,0,0,0,1,0,837
NARINO,1,0,0,0,1,0,838
BOYACA,0,0,0,0,0,0,839
CASANARE,1,1,4,1,1,86,840
SUCRE,0,0,0,0,1,0,841
ANTIOQUIA,1,1,5,1,0,55,842
TOLIMA,1,0,0,0,1,0,843
SUCRE,0,0,0,0,1,0,844
BOLIVAR,1,0,0,0,0,0,845
CESAR,1,0,0,0,0,0,846
META,1,1,4,3,0,710,847
BOYACA,1,0,0,0,1,0,848
BOYACA,0,1,2,1,0,64,849
SANTANDER,1,0,0,0,0,0,850
PUTUMAYO,0,0,0,0,1,0,851
SUCRE,1,0,0,0,1,0,852
BOYACA,1,1,2,1,1,55,853
BOLIVAR,1,0,0,0,1,0,854
NARINO,0,0,0,0,1,0,855
NARINO,0,1,2,2,1,101,856
ANTIOQUIA,1,0,0,0,1,0,857
ANTIOQUIA,0,0,0,0,0,0,858
SUCRE,0,0,0,0,1,0,859
VALLE DEL CAUCA,1,0,0,0,0,0,860
CORDOBA,1,0,0,0,0,0,861
ANTIOQUIA,1,1,3,1,0,30,862
ANTIOQUIA,0,0,0,0,0,0,863
MAGDALENA,0,0,0,0,0,0,864
CAUCA,0,0,0,0,0,0,865
SANTANDER,1,0,0,0,0,0,866
CAQUETA,0,0,0,0,0,0,867
ANTIOQUIA,0,0,0,0,1,0,868
MAGDALENA,1,0,0,0,1,0,869
NARINO,0,1,2,2,0,62,870
MAGDALENA,0,0,0,0,0,0,871
MAGDALENA,1,0,0,0,1,0,872
NARINO,1,0,0,0,0,0,873
ANTIOQUIA,0,0,0,0,0,0,874
SANTANDER,1,0,0,0,0,0,875
BOLIVAR,1,0,0,0,0,0,876
SANTANDER,0,0,0,0,1,0,877
TOLIMA,0,1,5,2,1,90,878
ATLANTICO,1,0,0,0,0,0,879
BOYACA,1,1,2,1,1,43,880
HUILA,1,0,0,0,1,0,881
MAGDALENA,0,1,1,2,1,89,882
RISARALDA,1,0,0,0,0,0,883
ANTIOQUIA,1,0,0,0,0,0,884
BOYACA,1,0,0,0,0,0,885
BOLIVAR,1,1,3,2,1,68,886
BOLIVAR,1,0,0,0,0,0,887
CAUCA,1,0,0,0,1,0,888
VICHADA,1,0,0,0,1,0,889
BOYACA,0,0,0,0,0,0,890
NARINO,1,0,0,0,0,0,891
ANTIOQUIA,0,0,0,0,1,0,892
BOYACA,1,1,1,0,1,23,893
CAUCA,1,1,3,1,0,53,894
SUCRE,1,0,0,0,1,0,895
NORTE DE SANTANDER,1,0,0,0,0,0,896
PUTUMAYO,0,0,0,0,1,0,897
ANTIOQUIA,0,0,0,0,0,0,898
ATLANTICO,1,0,0,0,0,0,899
RISARALDA,0,0,0,0,0,0,900
NARINO,1,0,0,0,0,0,901
ARAUCA,1,0,0,0,0,0,902
NORTE DE SANTANDER,1,0,0,0,1,0,903
CUNDINAMARCA,0,0,0,0,0,0,904
BOYACA,1,0,0,0,0,0,905
BOYACA,0,1,1,0,1,51,906
ANTIOQUIA,0,0,0,0,0,0,907
CUNDINAMARCA,0,1,3,3,1,164,908
VALLE DEL CAUCA,0,1,1,2,1,224,909
BOYACA,0,1,6,3,1,60,910
CUNDINAMARCA,1,1,2,1,0,135,911
PUTUMAYO,1,0,0,0,0,0,912
NORTE DE SANTANDER,1,1,3,2,1,90,913
CUNDINAMARCA,1,0,0,0,0,0,914
CAUCA,0,1,3,2,0,78,915
SANTANDER,1,1,0,0,0,15,916
CUNDINAMARCA,0,1,4,3,1,208,917
BOLIVAR,1,0,0,0,0,0,918
SUCRE,1,1,1,0,1,22,919
CHOCO,0,0,0,0,0,0,920
MAGDALENA,1,1,3,2,1,60,921
CUNDINAMARCA,1,1,5,3,1,187,922
BOYACA,1,0,0,0,0,0,923
BOYACA,0,0,0,0,0,0,924
SANTANDER,1,0,0,0,1,0,925
BOYACA,1,1,2,1,1,25,926
BOYACA,1,1,5,2,0,179,927
CAQUETA,0,0,0,0,0,0,928
ATLANTICO,0,0,0,0,1,0,929
CAQUETA,1,1,5,3,1,83,930
BOYACA,0,0,0,0,0,0,931
ANTIOQUIA,1,1,4,2,0,112,932
ANTIOQUIA,1,0,0,0,0,0,933
BOLIVAR,1,0,0,0,0,0,934
CUNDINAMARCA,1,1,5,2,1,125,935
BOYACA,1,1,1,1,1,86,936
BOYACA,1,0,0,0,1,0,937
BOYACA,1,1,5,1,0,64,938
CAUCA,0,0,0,0,1,0,939
SANTANDER,1,0,0,0,1,0,940
ATLANTICO,1,0,0,0,1,0,941
CAUCA,1,0,0,0,0,0,942
TOLIMA,1,0,0,0,0,0,943
HUILA,1,0,0,0,0,0,944
CUNDINAMARCA,0,1,5,3,0,126,945
CAUCA,1,1,0,0,0,2,946
SANTANDER,1,0,0,0,1,0,947
SUCRE,1,0,0,0,0,0,948
CUNDINAMARCA,1,1,4,1,1,88,949
CUNDINAMARCA,1,0,0,0,0,0,950
CALDAS,1,0,0,0,0,0,951
SANTANDER,1,1,3,1,0,188,952
CUNDINAMARCA,1,1,2,2,0,65,953
BOYACA,1,1,3,1,0,66,954
BOYACA,1,0,0,0,0,0,955
CUNDINAMARCA,1,1,6,1,1,180,956
BOYACA,1,1,0,0,0,64,957
CUNDINAMARCA,1,1,3,2,0,86,958
CHOCO,0,0,0,0,0,0,959
BOLIVAR,1,0,0,0,1,0,960
CESAR,1,0,0,0,0,0,961
CASANARE,1,0,0,0,0,0,962
ARAUCA,0,1,1,0,0,8,963
ANTIOQUIA,0,0,0,0,1,0,964
NARINO,1,0,0,0,1,0,965
NARINO,1,0,0,0,1,0,966
VAUPES,0,1,1,0,0,43,967
ANTIOQUIA,1,0,0,0,1,0,968
HUILA,0,0,0,0,1,0,969
ANTIOQUIA,0,0,0,0,0,0,970
BOYACA,1,0,0,0,1,0,971
CASANARE,1,0,0,0,0,0,972
CUNDINAMARCA,1,1,4,2,0,32,973
HUILA,0,1,4,1,1,66,974
CUNDINAMARCA,0,0,0,0,0,0,975
MAGDALENA,0,0,0,0,1,0,976
CUNDINAMARCA,0,1,3,2,1,165,977
BOYACA,1,1,2,2,1,180,978
NORTE DE SANTANDER,1,0,0,0,1,0,979
HUILA,1,1,3,1,0,65,980
HUILA,1,0,0,0,0,0,981
CUNDINAMARCA,1,0,0,0,0,0,982
BOYACA,1,1,3,1,1,80,983
BOYACA,1,0,0,0,1,0,984
CUNDINAMARCA,1,1,5,1,1,191,985
NORTE DE SANTANDER,0,1,3,3,1,86,986
CORDOBA,1,0,0,0,0,0,987
HUILA,1,1,6,1,1,64,988
CAUCA,1,1,3,1,0,55,989
CAUCA,0,0,0,0,0,0,990
BOYACA,1,1,3,1,0,94,991
BOYACA,0,1,4,2,0,83,992
BOLIVAR,0,0,0,0,1,0,993
ANTIOQUIA,1,1,4,1,0,38,994
BOYACA,0,0,0,0,0,0,995
CUNDINAMARCA,1,1,5,2,0,84,996
CUNDINAMARCA,0,1,3,2,0,179,997
BOYACA,1,0,0,0,1,0,998
NORTE DE SANTANDER,0,1,2,3,0,112,999
ANTIOQUIA,1,0,0,0,1,0,1000
SUCRE,1,0,0,0,1,0,1001
SANTANDER,0,1,2,2,0,41,1002
BOYACA,1,0,0,0,0,0,1003
CUNDINAMARCA,0,0,0,0,0,0,1004
CAUCA,1,1,5,1,0,140,1005
VALLE DEL CAUCA,0,0,0,0,0,0,1006
BOYACA,0,1,5,2,0,122,1007
CAUCA,0,1,4,2,0,199,1008
CASANARE,0,0,0,0,0,0,1009
VALLE DEL CAUCA,1,1,5,2,1,53,1010
ATLANTICO,1,0,0,0,1,0,1011
CORDOBA,1,0,0,0,0,0,1012
VALLE DEL CAUCA,0,1,4,3,0,437,1013
BOYACA,1,1,3,4,0,369,1014
BOYACA,1,0,0,0,1,0,1015
NARINO,1,0,0,0,1,0,1016
BOLIVAR,1,0,0,0,1,0,1017
BOLIVAR,0,0,0,0,0,0,1018
ANTIOQUIA,1,0,0,0,1,0,1019
BOYACA,1,1,3,1,1,139,1020
BOYACA,1,1,3,2,1,114,1021
BOYACA,1,1,3,1,0,34,1022
CUNDINAMARCA,1,0,0,0,1,0,1023
CUNDINAMARCA,0,0,0,0,1,0,1024
VALLE DEL CAUCA,0,1,4,3,1,247,1025
BOYACA,0,0,0,0,1,0,1026
CUNDINAMARCA,0,0,0,0,1,0,1027
CHOCO,1,1,6,2,1,141,1028
CHOCO,0,0,0,0,1,0,1029
ANTIOQUIA,0,0,0,0,1,0,1030
META,0,1,6,1,1,65,1031
LA GUAJIRA,1,0,0,0,0,0,1032
ANTIOQUIA,1,0,0,0,1,0,1033
LA GUAJIRA,1,1,1,3,1,186,1034
ATLANTICO,0,0,0,0,1,0,1035
CUNDINAMARCA,1,0,0,0,0,0,1036
ANTIOQUIA,1,1,3,2,1,73,1037
CORDOBA,0,1,1,2,0,28,1038
SANTANDER,0,0,0,0,1,0,1039
TOLIMA,0,0,0,0,0,0,1040
PUTUMAYO,0,0,0,0,0,0,1041
CESAR,1,1,0,0,0,10,1042
CAQUETA,1,0,0,0,0,0,1043
ANTIOQUIA,0,0,0,0,0,0,1044
ANTIOQUIA,1,0,0,0,1,0,1045
SANTANDER,1,0,0,0,1,0,1046
TOLIMA,1,0,0,0,0,0,1047
CUNDINAMARCA,0,1,3,1,0,71,1048
ANTIOQUIA,0,0,0,0,0,0,1049
BOYACA,1,1,6,1,0,70,1050
CUNDINAMARCA,1,1,3,1,0,46,1051
VALLE DEL CAUCA,0,0,0,0,0,0,1052
SANTANDER,1,0,0,0,1,0,1053
CUNDINAMARCA,1,0,0,0,1,0,1054
CALDAS,0,0,0,0,1,0,1055
ANTIOQUIA,1,0,0,0,0,0,1056
VALLE DEL CAUCA,1,0,0,0,1,0,1057
NORTE DE SANTANDER,0,0,0,0,1,0,1058
BOYACA,1,0,0,0,1,0,1059
CUNDINAMARCA,1,1,4,1,1,126,1060
NORTE DE SANTANDER,0,0,0,0,0,0,1061
CAUCA,1,0,0,0,1,0,1062
PUTUMAYO,0,1,1,1,1,38,1063
CUNDINAMARCA,1,1,2,1,1,44,1064
TOLIMA,1,1,4,2,0,169,1065
CALDAS,1,0,0,0,0,0,1066
BOLIVAR,0,0,0,0,0,0,1067
LA GUAJIRA,1,0,0,0,1,0,1068
SANTANDER,0,1,2,2,0,187,1069
CASANARE,0,1,2,2,0,128,1070
CUNDINAMARCA,1,1,5,3,1,160,1071
TOLIMA,1,0,0,0,1,0,1072
META,0,1,3,1,0,85,1073
HUILA,0,0,0,0,1,0,1074
CUNDINAMARCA,1,1,4,2,1,94,1075
CUNDINAMARCA,1,0,0,0,1,0,1076
BOYACA,0,1,1,1,1,20,1077
META,1,0,0,0,1,0,1078
CALDAS,0,0,0,0,0,0,1079
CUNDINAMARCA,0,0,0,0,0,0,1080
NARINO,0,1,0,0,1,38,1081
HUILA,1,1,1,1,0,107,1082
ANTIOQUIA,1,1,3,1,0,50,1083
ANTIOQUIA,1,0,0,0,0,0,1084
ANTIOQUIA,1,0,0,0,1,0,1085
ANTIOQUIA,1,0,0,0,1,0,1086
CASANARE,1,0,0,0,1,0,1087
VALLE DEL CAUCA,1,1,3,1,0,363,1088
VALLE DEL CAUCA,1,1,4,1,0,61,1089
BOLIVAR,0,0,0,0,0,0,1090
SANTANDER,1,0,0,0,0,0,1091
MAGDALENA,0,0,0,0,1,0,1092
ANTIOQUIA,1,1,2,2,0,231,1093
VALLE DEL CAUCA,0,1,3,2,0,76,1094
BOYACA,1,0,0,0,0,0,1095
CUNDINAMARCA,1,1,6,3,1,301,1096
CUNDINAMARCA,0,1,2,2,1,153,1097
MAGDALENA,1,0,0,0,0,0,1098
